index,genre,issue,replacement,notes
1594,2-tone,-,2_tone,
1589,a_cappella,_,acappella,
705,acoustic-,-,acoustic,
1686,acoustic_rock_folk_rock,list,"acoustic_rock, folk_rock",
1288,adult_album_alternative,_album_,adult_alternative,
71,afrobeats,s,afrobeat,
1619,afropop,-,afro-pop,
1118,alt,abbr,,could be a dangling modifier/prefix
1228,alt._country,"., abbr",alternative_country,
902,alt.country,"., abbr",alternative_country,
386,alt_country,abbr,alternative_country,
986,alt-country,abbr,alternative_country,
1113,alternative_rock_garage_rock,list,"alternative_rock, garage_rock",
522,alt-folk,abbr,alternative_folk,
1196,alt-metal,abbr,alternative_metal,
464,alt-pop,abbr,alternative_pop,
160,alt-rock,abbr,alternative_rock,
709,americana_folk_alt_country_garage_rock,list,"americana, folk, alternative_country, garage_rock",
954,americana_music_folk_song,list,"americana, folk_song",
1122,anarcho-punk,-,anarcho_punk,
1426,and,artifact,none,
1107,antifolk,-,anti-folk,
275,art-pop,-,art_pop,
1552,avant_garde,-,avant-garde,
192,avant_pop,-,avant-garde_pop,
393,avant-funk,abbr,avant-garde_funk,
842,avantgarde,sp,avant-garde,
387,avant-pop,abbr,avant-garde_pop,
381,avant-prog,abbr,avant-garde_progressive_rock,
441,avant-rock,abbr,avant-garde_rock,
276,ballad,s,ballads,
1294,balladeer,abbr,ballads,
1666,ballads_and_rock&roll,list,"ballads, rock&roll",
1114,blue_jump_blues_rock,list,"blues, jump_blues,rock",
1217,blues_soul_r&b_gospel_funk_folk,list,"blues, soul, r&b, gospel, funk, folk",
82,blues-rock,-,blues_rock,
1572,boleros,s,bolero,
1211,boogie-woogie,-,boogie_woogie,
711,bossa_and_others,and,bossa_nova,
1009,bossa_nova_samba,list,"bossa_nova, samba",
1210,bossanova,_,bossa_nova,
1088,brazilian_music_pop,list,"brazilian, pop",
86,breton_singing,abbr,breton,
1688,broadway_musical,abbr,broadway,
1423,broadway_musicals,abbr,broadway,
60,broadway_theatre,abbr,broadway,
322,c86,artifact?,,
1348,canterbury_scene,abbr,canterbury_sound,
676,chamber-pop,-,chamber_pop,
692,chansonnier,abbr,chanson,
395,childrens_songs,abbr,childrens,
573,chill-out,-,chillout,
898,christian_&_gospel,list,"christian, gospel",
947,citation_needed,artifact,none,
1625,clarification_needed,artifact,none,
1308,classical-crossover,-,classical_crossover,
497,concerts,abbr,concert,
309,country&western,abbr,country_&_western,
612,cpop,-,c-pop,
908,crooning,abbr,crooner,
85,dance-pop,-,dance_pop,
758,dance-punk,-,dance_punk,
1302,dance-rock,-,dance_rock,
1522,darkwave,_,dark_wave,
1387,doo-wop,-,doo_wop,
468,downtempo,-,down_tempo,
803,dreampop,_,dream_pop,
1226,drum_&_bass,_,drum_and_bass,
873,electroacoustic,-,electro-acoustic,
305,electro-funk,-,electro_funk,
390,electro-house,-,electro_house,
623,electropop,_,electro_pop,
1632,electro-pop,-,electro_pop,
795,electropop_alternative_pop,list,"electro_pop, alternative_pop",
436,electro-pop_dance-rock,list,"electro_pop, dance_rock",
1341,electropunk,_,electro_punk,
1507,electro-punk,-,electro_punk,
725,experimental_&_brazilian_jazz,list,"experimental, brazilian_jazz",
383,expressionist,abbr,expressionism,
1200,film_score,abbr,film,
26,film_scores,abbr,film,
560,film_soundtrack,abbr,film,
928,fingerstyle_and_classical_guitar,list,"fingerstyle, classical_guitar",
697,folk_and_country,list,"folk, country",
726,folk_rock_folk_pop,list,"folk_rock, folk_pop",
1392,folk-alternative,-,folk_alternative,
394,folk-blues,-,folk_blues,
1419,folk-jazz,-,folk_jazz,
853,folk-pop,-,folk_pop,
544,folk-punk,-,folk_punk,
473,folk-rock,-,folk_rock,
1032,free_improv,abbr,free_improvisation,
1513,freestyling,abbr,freestyle,
451,french_variÃ©tÃ©,abbr,french_variety,
1466,french_varieties,abbr,french_variety,
1701,french_variety_songs,abbr,french_variety,
314,futurepop,_,future_pop,
492,glam-punk,-,glam_punk,
976,gospel_and_gospel_blues,list,"gospel, gospel_blues",
1668,grind_core,_,grindcore,
543,grunge_rock,abbr,grunge,
1273,hard_core,_,hardcore,
836,hard-bop,-,hard_bop,
270,hawaii,abbr,hawaiian,
1194,hip-hop_music_in_the_pacific_northwest,abbr,pacific_northwest_hip-hop,
1123,hip-hop_soul,list,"hip-hop, soul",
304,honky-tonk,-,honky_tonk,
508,hymnal,abbr,hymns,
875,indi_pop,sp,indie_pop,
1379,indiepop,_,indie_pop,
1367,indie-pop,-,indie_pop,
597,indie-rock,-,indie_rock,
735,jazz-funk,-,jazz_funk,
781,jazz-fusion,-,jazz_fusion,
886,jazz-pop,-,jazz_pop,
1693,jazz-rap,-,jazz_rap,
1408,jazz-rock,-,jazz_rock,
1536,lo_fi,-,lo-fi,
884,lofi,-,lo-fi,
201,mellow_&_acoustic_rock,list,"mellow, acoustic_rock",
379,minimalist,abbr,minimalism,
1550,mor,abbr,middle_of_the_road,
685,motown_sound,abbr,motown,
37,music,artifact,none,
357,music_pop_rock,abbr,pop_rock,
825,musical_theater,abbr,musical,
360,musical_theatre,abbr,musical,
822,musical_theatre_pop,abbr,musical_pop,
374,musicals,s,musical,
411,musician,artifact,none,
923,music-jewish_liturgy,music-,jewish_liturgy,
684,musique_concrÃ¨te,abbr,musique_concrete,
808,musique_concrÃ©te,abbr,musique_concrete,
239,neo_souls,s,neo_soul,
609,neo-classical,-,neoclassical,
1517,neo-classical_jazz,-,neoclassical_jazz,
169,neo-classical_metal,-,neoclassical_metal,
897,neofolk,-,neo-folk,
1545,neo-prog,abbr,neo-progressive_rock,
663,neotraditionalist_country,abbr,neotraditional_country,
1055,new-age,-,new_age,
1081,northwest_hip-hop,abbr,pacific_northwest_hip-hop,
1127,novelty_songs,abbr,novelty,
957,old_school_rap,abbr,old_school_hip-hop,
58,old-school_hip-hop,-,old_school_hip-hop,
266,oldtime,-,old-time,
1577,old-timey,abbr,old-time,
319,opera_&_musical_theatre,list,"opera, musical",
1475,opera_and_comic_opera,list,"opera, comic_opera",
1097,opera_arias,abbr,opera,
1525,operatic,abbr,opera,
373,pitbash_jewish_punk_thrash_opera,list,"jewish_punk, thrash, opera",
68,pop__dance,_,pop_dance,
356,pop_dance_rock_jazz,list,"pop, dance, rock, jazz",
1364,pop_edm_hip-hop,list,"pop, edm, hip-hop",
1045,pop_folksinger_songwriter,list,"pop_folk, singer_songwriter",
240,pop_rock_dance,list,"pop, rock, dance",
852,pop_rock_soul,list,"pop, rock, soul",
346,pop_traditional_pop,list,"pop, traditional_pop",
732,pop-classical,-,pop_classical,
756,pop-folk,-,pop_folk,
1162,pop-punk,-,pop_punk,
1174,pop-rap,-,pop_rap,
643,poprock,_,pop_rock,
584,pop-rock,-,pop_rock,
655,pop-rock_singer,abbr,pop_rock,
1333,pop-soul,-,pop_soul,
466,post_bop,-,post-bop,
668,post_disco,-,post-disco,
905,post_grunge,-,post-grunge,
523,post_hardcore,-,post-hardcore,
778,post_punk,-,post-punk,
1054,post_rock,-,post-rock,
1611,powerpop,_,power_pop,
431,praise_&,abbr,praise_&_worship,
222,prog_rock,abbr,progressive_rock,
200,protest_songs,s,protest_song,
1706,proto_punk,-,proto-punk,
766,protopunk,-,proto-punk,
1185,psych_blues,abbr,psychedelic_blues,
345,psych_folk,abbr,psychedelic_folk,
1343,psych_pop,abbr,psychedelic_pop,
396,psych_rock,abbr,psychedelic_rock,
190,psychedelia,abbr,psychedelic,
554,punkrock,abbr,punk_rock,
91,punk-rock,abbr,punk_rock,
1574,r&b_soul_dance,list,"r&b, soul, dance",
899,reggae.,.,reggae,
565,reggae_cultural_influence,abbr,reggae,
865,revival_punk_psycho_blues,list,"revival_punk, psycho_blues",
143,rock&roll_americana_rhythm_and_blues_alternative,list,"rock&roll, americana, rhythm_and_blues, alternative",
463,rock&roll_blues,list,"rock&roll, blues",
437,rocknroll,abbr,rock_n_roll,
27,sea_shanty,abbr,sea_shanties,
1234,shoegazing,abbr,shoegaze,
182,show_tune,s,show_tunes,
691,showtunes,_,show_tunes,
446,showtunes_adult_contemporary,list,"show_tunes, adult_contemporary",
1066,singerâ€“songwriter,_,singer_songwriter,
1144,singer-songwriter,-,singer_songwriter,
388,singer-songwriter_rock,list,"singer_songwriter, rock",
1361,ska-punk,-,ska_punk,
776,soul-blues,-,soul_blues,
1286,soundtracks,s,soundtrack,
535,spirituals,s,spiritual,
1152,streetsâ€”blues_roots,list,"streets_blues, roots",
36,surreal_humour,abbr,surreal_humor,
443,synthpop,-,synth_pop,
1495,synth-pop,-,synth_pop,
909,synthpunk,-,synth_punk,
1284,synth-punk,-,synth_punk,
960,television_scores,s,television_score,
953,the_motown_sound,abbr,motown,
41,theatre,abbr,theater,
65,theatre_performer,abbr,theater,
621,third-wave_ska,_,third_wave_ska,
943,torch_singer,abbr,torch,
485,torch_song,abbr,torch,
193,torch_songs,abbr,torch,
520,trad_irish,abbr,traditional_irish,
16,trad_jazz,abbr,traditional_jazz,
1281,traditional_irish_early,abbr,traditional_irish,
1322,trance-blues_r&b,list,"trance-blues, r&b",
1199,various_styles,abbr,various,
1180,vaudevillian,abbr,vaudeville,
964,western_movies,abbr,western_films,
564,with,artifact,none,
858,with_electronics,artifact,electronics,
559,world_music_deep-house_quiet_storm,list,"world, deep-house, quiet_storm",
704,world_music_folk_world_jazz,list,"world, folk, worl_jazz",
816,worldbeat,-,world_beat,
1411,world-beat,-,world_beat,
204,yÃ©yÃ©,-,yÃ©-yÃ©,
882,yodelling,abbr,yodeling,
