artist,genre
Big Mama Thornton,"acoustic blues, blues, electric blues, harmonica blues, rhythm and blues, texas blues, traditional blues"
LaVern Baker,"brill building pop, doo-wop, jump blues, rhythm and blues, rock-and-roll, rockabilly, soul, southern soul, torch song"
Ruth Brown,"jazz blues, jump blues, rhythm and blues, rock-and-roll, soul, southern soul"
Etta James,"adult standards, jazz blues, soul, soul blues, torch song, vocal jazz"
Janis Martin,"rhythm and blues, rock-and-roll, rockabilly"
Georgia Gibbs,deep adult standards
Wanda Jackson,"nashville sound, oklahoma country, rock-and-roll, rockabilly"
Mickey & Sylvia,rhythm and blues
Chordettes,"adult standards, brill building pop, classic girl group, doo-wop, rock-and-roll, vocal harmony group"
Estelle Phillips,
Shirley and Lee,"doo-wop, rhythm and blues"
Teddy Bears,
Dodie Stevens,deep adult standards
Cordell Jackson,
Dee Clark,"brill building pop, chicago soul, doo-wop, rhythm and blues"
Annette,"latin christian, mariachi cristiano"
Mary Ford,
Brenda Lee,"adult standards, brill building pop, easy listening, lounge, rockabilly"
Chantels,"brill building pop, classic girl group, doo-wop, rhythm and blues"
Little Peggy March,brill building pop
Shangri-Las,"brill building pop, classic girl group"
Carla Thomas,"classic soul, memphis soul, motown, rhythm and blues, soul, southern soul"
Mary Wells,"brill building pop, classic soul, funk, motown, soul"
Dee Dee Sharp,"brill building pop, classic girl group, doo-wop, motown, philly soul, rhythm and blues"
Marcie Blaine,
Doris Troy,"brill building pop, motown, northern soul, rhythm and blues, southern soul"
Ruby & the Romantics,rhythm and blues
Barbara Lewis,"brill building pop, classic soul, motown, rhythm and blues, soul, southern soul"
Angels,"emo, pop rock, socal pop punk"
Inez Foxx,
New Christy Minstrels,"american folk revival, traditional folk"
Brenda Holloway,"classic soul, motown, northern soul"
Cilia Black,
Dixie Cups,"brill building pop, classic girl group"
We Five,"bounce, deep southern trap"
Fontella Bass,"chicago soul, classic soul, motown, rhythm and blues, soul"
Barbara Mason,"classic soul, funk, motown, philly soul, quiet storm, southern soul"
Shirley Ellis,northern soul
the Jaynetts,classic girl group
"Velvet Underground,Carpenters",
Freda Payne,"classic soul, motown"
Melanie,pop
Delaney & Bonnie & Friends,
New Seekers,"bubblegum pop, classic uk pop"
Honey Cone,classic soul
Heart,"folk-pop, indie folk, indie pop, neo mellow, new americana, seattle indie, stomp and holler"
Staples Singers,
Betty Wright,"classic soul, funk, motown, quiet storm, soul, southern soul"
Dawn,"deep groove house, deep house, disco house, edm, funky tech house, house, progressive house, tech house, tropical house, vocal house"
Climax,"blues rock, british blues, classic rock, country rock, soft rock"
Pointer Sisters,"dance pop, dance rock, disco, europop, girl group, hi-nrg, mellow gold, motown, new wave pop, post-disco, quiet storm, soft rock"
Gladys Knight & the Pips,"brill building pop, classic soul, disco, funk, motown, quiet storm, soul, southern soul"
Girlschool,"hard rock, metal, nwobhm, rock"
Donna Summer,"dance pop, disco, hi-nrg, motown, new wave pop"
"the Runaways,Deneice Williams",
Joan Armatrading,"folk, folk rock, lilith, mellow gold, new wave pop, singer-songwriter, traditional folk"
Brides of Funkenstein,"funk, p funk"
X-Ray Spex,"dance rock, post-punk, pub rock, punk, riot grrrl"
Jody Watiey,
the Au Pairs,
Area,"big room, edm"
the Divinyls,
Deee-Lite,"hip house, new wave pop"
Eurythmics,"dance pop, dance rock, disco, europop, mellow gold, new romantic, new wave, new wave pop, rock, soft rock, synthpop"
Tiffany,"new wave pop, soft rock"
Donna Summer,"dance pop, disco, hi-nrg, motown, new wave pop"
Delta 5,"dance-punk, no wave, post-punk, uk post-punk"
Sheila E.,"funk, minneapolis sound, quiet storm"
Bow Wow Wow,"dance pop, hip hop, hip pop, pop, pop rap, r&b, rap, southern hip hop, urban contemporary"
Siouxsie and the Banshees,"alternative rock, dance rock, dream pop, gothic rock, new romantic, new wave, new wave pop, post-punk, punk, uk post-punk"
Whitney Houston,"dance pop, pop, urban contemporary"
Grace Jones,"art pop, art rock, dance pop, dance rock, disco, electronica, new romantic, new wave, new wave pop"
Suzanne Vega,"folk, lilith, new wave pop, permanent wave, pop rock, singer-songwriter"
Lita Ford,"album rock, glam metal, hard rock, rock, sleaze rock"
Sheena Easton,"adult standards, mellow gold, minneapolis sound, new romantic, new wave pop, soft rock"
Tanita Tikaram,new wave pop
Salt-n-Pepa,"dance pop, girl group, hip hop, hip house, hip pop, old school hip hop, pop, queens hip hop, rap"
Roxanne Shante,"electro, hip house, old school hip hop, queens hip hop"
Indigo Girls,"folk, lilith, pop rock"
Rosie Flores,neo-rockabilly
Sonic Youth,"alternative rock, art rock, blues rock, dance rock, dream pop, experimental rock, garage rock, indie rock, modern rock, new wave, noise pop, noise rock, post-punk, punk, rock"
Victoria Williams,"folk, singer-songwriter"
Lydia Lunch,no wave
Aimee Mann,"chamber pop, folk, indie pop, lilith, new wave pop, permanent wave, pop rock"
Sally Timms,alternative country
Amy Grant,"adult standards, christian alternative rock, christian music"
the Lunachicks,
Vanessa Williams,"adult standards, quiet storm, urban contemporary"
Elastica,"alternative pop, alternative rock, britpop, candy pop"
Babes in Toyland,"grunge, minneapolis punk, riot grrrl"
Me'shell Ndege'ocello,
Bjork,"alternative dance, art pop, electronica, electropop, experimental pop, experimental vocal, icelandic experimental, icelandic pop, metropopolis, permanent wave, trip hop"
Sheryl Crow,"folk, lilith, mellow gold, neo mellow, new wave pop, permanent wave, pop rock, rock"
Brandy,"dance pop, deep pop r&b, hip pop, neo soul, new jack swing, pop, pop rap, r&b, urban contemporary"
L7,"alternative rock, grunge, punk, riot grrrl, rock"
Shawn Colvin,"ectofolk, folk, folk rock, lilith, new wave pop, pop rock, singer-songwriter"
Erykah Badu,"afrofuturism, funk, hip hop, neo soul, r&b, soul, urban contemporary"
Meredith Brooks,"lilith, pop rock"
Monica,"dance pop, deep pop r&b, hip hop, hip pop, neo soul, new jack swing, pop, pop rap, quiet storm, r&b, urban contemporary"
Sleater-Kinney,"alternative pop, alternative rock, anti-folk, art pop, indie pop, indie punk, indie rock, lilith, noise pop, olympia wa indie, riot grrrl"
Fiona Apple,"art pop, chamber pop, indie pop, lilith, permanent wave, piano rock, pop rock, singer-songwriter"
the Muffs,"alternative pop, alternative rock, power-pop punk, riot grrrl"
Liz Phair,"alternative pop, alternative rock, candy pop, folk, lilith, new wave pop, permanent wave, pop rock"
Queen Latifah,"conscious hip hop, east coast hip hop, hip hop, hip pop, new jersey rap"
Roxanne Shante,"electro, hip house, old school hip hop, queens hip hop"
MC Lyte,"east coast hip hop, electro, gangster rap, hardcore hip hop, hip hop, hip house, hip pop, new jack swing, old school hip hop, rap"
Yo Yo,"atl hip hop, atl trap, gangster rap, melodic rap, pop rap, rap, trap"
Lauryn Hill,"conscious hip hop, dance pop, hip pop, neo soul, new jersey rap, pop, r&b, soul, urban contemporary"
Foxy Brown,"east coast hip hop, hip hop, hip pop, pop rap, r&b, rap"
Da Brat,"chicago rap, hip hop, hip pop, new jack swing, pop rap, r&b, rap, urban contemporary"
Alicia Keys,"hip pop, neo soul, pop, r&b, urban contemporary"
Jessica Simpson,"dance pop, post-teen pop"
Jennifer Lopez,"dance pop, pop, pop rap, post-teen pop, urban contemporary"
FlufEy,
Eve,"dance pop, hip hop, hip pop, philly rap, pop rap, r&b, rap, urban contemporary"
Poe,indonesian pop
Republica,"candy pop, new wave pop"
Britney Spears,"dance pop, pop, pop rap, post-teen pop"
Sneaker Pimps,"alternative dance, electronica, trip hop"
Nobby,"bounce, new orleans rap"
Three Hour Tour,"jangle pop, modern power pop, underground power pop"
the Donnas,"candy pop, garage rock, glam punk, power-pop punk"
Dolores O'Riordan,"limerick indie, pop rock"
Mystic,"dark trap, emo rap, underground hip hop"
Pink,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
Dido,"dance pop, new wave pop, pop rock"
