,genre,community,Frequency_total,Frequency_female,Frequency_male
0,blues,0,1067,245,822
1,boogie_woogie,0,24,3,21
2,chicago_soul,1,6,0,6
3,r&b,1,2061,966,1095
4,hip_hop,1,1395,248,1147
5,jazz,1,1173,489,684
6,heavy_metal,2,587,40,547
7,sludge_metal,2,16,0,16
8,punk_rock,3,470,78,392
9,psychedelic_rock,2,214,20,194
10,rap_metal,2,18,0,18
11,soul,1,1305,677,628
12,doo_wop,1,38,11,27
13,death_metal,2,88,1,87
14,grindcore,2,20,0,20
15,punk,0,59,13,46
16,new_wave,3,352,84,268
17,folk,0,1288,533,755
18,rockabilly,0,166,18,148
19,americana,0,331,125,206
20,roots_rock,0,70,9,61
21,rock&roll,0,370,37,333
22,shoe_gaze,3,26,8,18
23,alternative_rock,3,1152,242,910
24,schlager,1,67,41,26
25,dansband,1,17,10,7
26,pop_rock,3,805,286,519
27,ccm,1,56,30,26
28,experimental,3,196,41,155
29,post_punk,3,187,24,163
30,country_rock,0,201,30,171
31,electro_house,1,17,6,11
32,indie_rock,3,612,168,444
33,acoustic_rock,3,60,15,45
34,hard_rock,2,789,55,734
35,electronic,3,281,114,167
36,electro_pop,1,156,107,49
37,dream_pop,3,67,47,20
38,indie_folk,3,134,55,79
39,rock,0,2209,461,1748
40,urban,1,25,13,12
41,christian_metal,2,28,2,26
42,nu_metal,2,106,6,100
43,screamo,3,9,0,9
44,post_hardcore,3,109,1,108
45,alternative_country,0,184,59,125
46,gospel,1,450,226,224
47,instrumental_rock,2,69,3,66
48,blue_eyed_soul,1,115,22,93
49,avant_garde,3,67,18,49
50,hardcore_punk,2,172,5,167
51,crossover_thrash,2,18,0,18
52,pop,1,3281,1670,1611
53,show_tunes,1,9,3,6
54,pub_rock,3,13,0,13
55,synth_pop,3,244,92,152
56,electronica,3,221,97,124
57,britpop,3,41,3,38
58,experimental_rock,3,149,18,131
59,indie_pop,3,294,172,122
60,rap_rock,2,41,2,39
61,alternative_hip_hop,1,96,8,88
62,garage_rock,3,84,13,71
63,folk_rock,0,498,151,347
64,country,0,2027,635,1392
65,country_pop,0,91,50,41
66,progressive_metal,2,113,4,109
67,symphonic_metal,2,43,13,30
68,singer_songwriter,0,106,42,64
69,oi!,3,6,0,6
70,dance_pop,1,229,168,61
71,traditional_pop,1,128,63,65
72,reggae,4,170,39,131
73,dance,1,388,256,132
74,electronic_rock,3,47,4,43
75,teen_pop,1,23,11,12
76,thrash_metal,2,130,3,127
77,flamenco,0,52,3,49
78,funk,1,386,103,283
79,electro,1,43,20,23
80,contemporary,1,117,62,55
81,jangle_pop,3,19,5,14
82,skate_punk,3,21,0,21
83,pop_punk,3,143,28,115
84,world,0,158,52,106
85,electro_acoustic,3,10,3,7
86,swing,1,98,22,76
87,vocal_jazz,1,88,71,17
88,latin,1,55,19,36
89,alternative_metal,2,186,18,168
90,acid_jazz,1,18,6,12
91,bolero,5,18,3,15
92,son_cubano,5,12,0,12
93,soft_rock,0,217,41,176
94,ambient,3,82,18,64
95,g_funk,1,17,0,17
96,gangsta_rap,1,84,2,82
97,progressive_rock,2,278,12,266
98,funk_metal,2,28,0,28
99,comedy,0,28,6,22
100,old_time,0,37,8,29
101,acoustic,0,182,54,128
102,neo_soul,1,99,54,45
103,metalcore,2,80,4,76
104,groove_metal,2,48,1,47
105,folk_punk,3,21,0,21
106,pop_rap,1,32,12,20
107,electro_punk,3,9,2,7
108,blues_rock,2,413,38,375
109,noise_rock,3,58,4,54
110,hip_house,1,10,4,6
111,alternative_r&b,1,46,21,25
112,house,1,179,118,61
113,bakersfield_sound,0,9,0,9
114,chamber_pop,3,14,5,9
115,roots,0,50,16,34
116,country_folk,0,28,18,10
117,celtic,0,74,45,29
118,punk_blues,3,16,2,14
119,swamp_rock,0,16,2,14
120,boogie,1,9,2,7
121,trance,1,23,15,8
122,hi_nrg,1,24,18,6
123,alternative,0,153,71,82
124,comedy_rock,2,17,0,17
125,trip_hop,3,82,54,28
126,jazz_fusion,2,150,14,136
127,horrorcore,1,22,0,22
128,hardcore_hip_hop,1,37,1,36
129,broadway,1,21,14,7
130,electric_blues,6,190,18,172
131,countrypolitan,0,8,1,7
132,art_rock,3,145,30,115
133,chicago_blues,6,93,6,87
134,gothic_metal,2,33,10,23
135,gothic_rock,3,49,18,31
136,funk_rock,2,38,3,35
137,industrial,3,46,8,38
138,childrens,0,37,18,19
139,underground_hip_hop,1,29,0,29
140,chanson,7,68,30,38
141,hyphy,1,15,0,15
142,bluegrass,0,186,38,148
143,math_rock,3,14,1,13
144,indie,0,129,62,67
145,psychedelic,0,44,13,31
146,melodic_hardcore,3,26,2,24
147,classical,0,206,42,164
148,spoken_word,1,33,9,24
149,smooth_jazz,1,34,5,29
150,opera,1,51,27,24
151,rap,1,44,9,35
152,smooth_soul,1,6,3,3
153,freestyle,1,35,25,10
154,observational_comedy,8,18,2,16
155,blue_comedy,8,10,2,8
156,post_grunge,2,93,13,80
157,eurodance,1,33,23,10
158,technical_death_metal,2,18,0,18
159,crunk,1,12,2,10
160,ska,4,58,4,54
161,alternative_pop,1,24,17,7
162,tejano,0,19,6,13
163,satire,8,19,3,16
164,latin_pop,1,57,27,30
165,emo,3,73,3,70
166,honky_tonk,0,39,14,25
167,outlaw_country,0,50,6,44
168,power_metal,2,80,3,77
169,contemporary_christian,1,119,48,71
170,neo_psychedelic,3,35,4,31
171,deathrock,3,10,3,7
172,christian_pop,2,25,12,13
173,christian_rock,2,49,7,42
174,baroque_pop,3,45,15,30
175,psychedelic_soul,1,17,4,13
176,southern_rock,0,115,6,109
177,art_pop,3,51,31,20
178,a_cappella,1,19,7,12
179,ragtime,6,17,1,16
180,country_blues,6,95,15,80
181,industrial_rock,3,46,4,42
182,film,0,52,10,42
183,symphonic_rock,2,14,3,11
184,glam_rock,3,79,11,68
185,heartland_rock,0,22,2,20
186,disco,1,195,114,81
187,black_comedy,8,8,3,5
188,insult_comedy,8,6,2,4
189,grunge,2,87,20,67
190,piano_rock,3,7,1,6
191,emo_pop,3,16,2,14
192,jazz_rock,0,24,2,22
193,rocksteady,4,12,0,12
194,ska_punk,3,27,0,27
195,french_pop,7,48,22,26
196,edm,1,55,26,29
197,psychedelic_pop,3,27,6,21
198,hip_hop_soul,1,35,21,14
199,cabaret,1,33,23,10
200,easy_listening,1,79,21,58
201,soundtrack,0,14,1,13
202,indietronica,3,18,6,12
203,industrial_metal,2,51,3,48
204,piedmont_blues,6,42,3,39
205,acid_rock,2,26,1,25
206,tex_mex,0,11,0,11
207,fusion,1,33,6,27
208,shock_rock,2,19,2,17
209,post_punk_revival,3,27,5,22
210,lo_fi,3,69,15,54
211,new_jack_swing,1,39,20,19
212,musical,1,68,35,33
213,texas_blues,6,55,7,48
214,drill,1,6,0,6
215,metal,0,30,3,27
216,doom_metal,2,35,3,32
217,vocal,1,22,14,8
218,aor,2,15,6,9
219,mpb,9,24,2,22
220,bossa_nova,9,30,6,24
221,post_disco,1,25,11,14
222,proto_punk,3,27,3,24
223,alternative_dance,3,30,10,20
224,contemporary_worship,1,11,0,11
225,melodic_death_metal,2,36,3,33
226,black_metal,2,38,2,36
227,celtic_punk,3,8,0,8
228,techno,1,24,11,13
229,soul_blues,6,64,12,52
230,dancehall,4,31,8,23
231,power_pop,3,145,18,127
232,worship,2,30,14,16
233,classic_rock,0,18,2,16
234,art_punk,3,16,1,15
235,vaudeville,0,19,9,10
236,jesus,1,5,1,4
237,drone,3,13,1,12
238,classical_crossover,1,29,18,11
239,folk_pop,3,47,28,19
240,down_tempo,3,19,8,11
241,big_band,1,39,5,34
242,dixieland,1,8,3,5
243,post_rock,3,37,8,29
244,avant_garde_rock,3,16,2,14
245,cumbia,0,11,1,10
246,glam_metal,2,111,7,104
247,samba,9,16,2,14
248,salsa,1,19,5,14
249,speed_metal,2,46,1,45
250,neotraditional_country,0,21,5,16
251,northern_soul,1,10,7,3
252,garage_punk,3,22,3,19
253,reggae_fusion,4,24,6,18
254,western,0,26,4,22
255,canadian_blues,0,5,0,5
256,southern_gospel,0,36,5,31
257,christian,0,87,31,56
258,new_age,0,55,22,33
259,rock_pop,1,28,5,23
260,avant_garde_pop,3,11,7,4
261,louisiana_blues,10,13,1,12
262,swamp_blues,10,12,1,11
263,k_pop,1,33,9,24
264,drum&bass,3,14,5,9
265,grime,1,19,11,8
266,urban_contemporary,1,9,6,3
267,jump_blues,0,32,4,28
268,dubstep,3,20,7,13
269,traditional_popular,1,6,1,5
270,stoner_rock,2,19,1,18
271,opera_pop,1,24,13,11
272,2_tone,4,6,0,6
273,sketch_comedy,8,7,1,6
274,musical_comedy,8,15,3,12
275,bebop,1,10,4,6
276,mathcore,2,9,0,9
277,trap,1,66,5,61
278,trova,5,11,0,11
279,guaracha,5,14,2,12
280,east_coast_hip_hop,1,42,1,41
281,irish_traditional,0,12,8,4
282,cajun,0,24,3,21
283,arena_rock,2,7,0,7
284,neoclassical_metal,2,29,2,27
285,western_swing,0,45,3,42
286,europop,1,22,12,10
287,street_punk,3,5,0,5
288,west_coast_hip_hop,1,56,1,55
289,southern_soul,1,21,9,12
290,electroclash,3,13,10,3
291,detroit_blues,6,14,2,12
292,inspirational,1,19,10,9
293,horror_punk,2,19,1,18
294,psychedelic_folk,0,32,14,18
295,new_flamenco,0,8,0,8
296,glam_punk,3,14,2,12
297,brazilian_rock,9,8,0,8
298,instrumental,0,22,2,20
299,boogie_rock,2,11,0,11
300,slowcore,3,11,1,10
301,shoegaze,3,17,7,10
302,uk_garage,1,17,13,4
303,nashville_sound,0,14,9,5
304,soul_jazz,1,11,0,11
305,jazz_funk,1,17,3,14
306,anarcho_punk,3,10,4,6
307,surf,0,10,0,10
308,delta_blues,6,46,2,44
309,progressive_bluegrass,0,8,0,8
310,minneapolis_sound,1,7,5,2
311,comedy_hip_hop,1,8,0,8
312,political_hip_hop,1,12,0,12
313,space_rock,3,23,3,20
314,free_jazz,3,21,4,17
315,crossover,0,7,3,4
316,dark_wave,3,12,3,9
317,post_bop,1,8,3,5
318,cool_jazz,1,11,5,6
319,hawaiianan,0,16,2,14
320,southern_hip_hop,1,36,0,36
321,character_comedy,8,6,3,3
322,dub,4,28,3,25
323,reggae_rock,3,9,1,8
324,jam_rock,2,11,1,10
325,cloud_rap,1,10,0,10
326,show_tuness,1,11,6,5
327,deathcore,2,7,2,5
328,noise,3,16,3,13
329,gypsy_jazz,1,16,0,16
330,novelty,1,16,2,14
331,avant_garde_metal,2,13,0,13
332,dance_rock,3,18,4,14
333,popular,1,27,12,15
334,free_improvisation,3,12,3,9
335,ameripolitan,0,12,5,7
336,j_pop,1,8,3,5
337,classic_female_blues,6,31,31,0
338,traditional,0,12,8,4
339,surreal_humiddle_of_the_road,8,5,1,4
340,texas_country,0,15,0,15
341,tribute,2,8,7,1
342,traditional_irish,0,10,6,4
343,zydeco,0,8,1,7
344,music,1,8,4,4
345,contemporary_r&b,1,13,9,4
346,riot_grrrl,3,9,8,1
347,ragga,4,10,2,8
348,latin_jazz,9,18,5,13
349,world_beat,1,19,5,14
350,jam,0,9,0,9
351,mumble_rap,1,8,0,8
352,reggaeton,1,13,4,9
353,sophisti_pop,3,9,2,7
354,lovers_rock,4,15,10,5
355,psychobilly,3,15,3,12
356,melodic_rock,2,9,2,7
